Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Q1_Prominence,Q2_Age,Q2a_Age_SpecifyOther,Q3_Sex,Q4_Gender,Q5_LGBTQ,Q6_Animated,Q6a_Animated_OtherSpecify,Q7_Race_Ethnicity,Q7a_RE_OtherSpecify,Q8_Disability,Q9a_Shopping,Q9b_Driving,Q9c_Cleaning,Q9d_Cooking,Q9e_Working,Q9f_Socializing,Q9g_Nothing,Q9h_Eating/Drinking,Q9i_Exercising,Q9j_Activity Other,Q9j_Activity_Other_Specify,Q10a_Kitchen,Q10b_Office,Q10c_Car,Q10d_Store,Q10e_Outdoors,Q10f_Living Room,Q10g_Restaurant_Bar,Q10h_Gym,Q10i_Bedroom,Q10j_Bathroom,Q10k_Sporting_Event,Q10l_Classroom,Q10m_Location_Other,Q10m_Location_Other_Specify,Q11_Revealing_Clothing,Q12_Nudity,Q12a_Nudity_Other_Specify,Q13_Visually_Objectified,Q14_Verbally_Objectified,Q15_Intelligence,Q16_Humor,Q17_Occupation,Q18_Leader,Q19_Authority,Q20_Body Type,Q20a_Body_Type_Other_Specify,Q21a_Disordered_Eating,Q21b_Selfy_injury,Q21c_NegativeTalk,Q21d_Body_Modification,Q22a_Visual_Shame,Q22b_Verbal_Shame,Q22c_Sizeist_Slurs,Q22d_Punchline,Q22e_Denied_Personal_Opportunity,Q22f_Denied_Professional_Opportunity,Q22g_Other_Prejudice,Q22g_Prejudice_Other_Specify,Q23a_Lazy,Q23b_Physically_Slow,Q23c_Stupid,Q23d_Loser,Q23e_Inactive,Q23f_Poorly_Dressed,Q23g_Funny,Q23h_Jolly,Q23i_Clumsy,Q23j_Alone,Q24a_Comic_Relief,Q24b_Sidekick,Q24c_Mamma_Hen,Q24d_Nympho,Q25_Fat_to_Fit,Q26_Inspo_Porn,Q27_NOTES,Notes on Dwelling
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Waiter singing,Waiter singing,2,6,,2,10,0,0,,2,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Sunny City and Rural - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Blue t-shirt,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,1,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Cloudy City and Rural - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Woman washing dog,Brown t-shirt,2,7,,1,10,0,0,,5,,0,0,0,0,0,0,0,0,0,0,1,Grooming dog,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Champ Lanzamiento,Champ,Mexico,2020,2020,Petcare,BBDO,Brown Doodle,brown doodle dog,1,10,,2,10,0,0,,10,,0,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,,10,10,,10,10,0,3,10,0,0,10,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Champ Lanzamiento,Champ,Mexico,2020,2020,Petcare,BBDO,Black & White Dog,black and white doggo,1,10,,2,10,0,0,,10,,0,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,,10,10,,10,10,0,3,10,0,0,10,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Champ Lanzamiento,Champ,Mexico,2020,2020,Petcare,BBDO,Owner,woman in blue top and wavy brown hair,2,4,,1,10,0,0,,2,,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Man #1,muscular man at beginning/green cut off hoodie,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,6,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Fresh Dance (:10),Doublemint,Malaysia,2020,2020,Confectionary,BBDO,Man,Green jacket,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Man #2,man in blue top and yellow button up,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Man #3,dorky guy with glasses,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Man #4,blue shirt and cardigan,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Fresh Dance (:10),Doublemint,Malaysia,2020,2020,Confectionary,BBDO,Woman,Sparkling jacket,2,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,2,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Fashion Hunter,Doublemint,China,2020,2020,Confectionary,BBDO,Woman #1,woman with black hair and white top,1,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,2,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Fashion Hunter,Doublemint,China,2020,2020,Confectionary,BBDO,Woman #2,woman with reddish brown hair and blue blazer,2,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Fashion Hunter,Doublemint,China,2020,2020,Confectionary,BBDO,Man #1,in tan suit and white shirt,2,4,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Food Lover,Doublemint,China,2020,2020,Confectionary,BBDO,Woman #1,in pink shirt with brown hair,1,4,,1,10,0,0,,5,,0,1,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Food Lover,Doublemint,China,2020,2020,Confectionary,BBDO,Man #1,black hair and blue shirt,1,4,,2,10,0,0,,5,,0,1,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Woman #1,woman in green top and yellow skirt,2,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Woman #3,"woman with dorky guy, green shirt and jean overalls",2,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Doublemint - Fresh Kiss (:15),Doublemint,China,2020,2020,Confectionary,BBDO,Woman #4,pulls out gum/green and purple shirt,2,4,,1,10,0,0,,5,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
